epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.528,2.10015,5.26567,1.97709,0.00827,0.33294,0.02517,0.01185,1.61921,4.77706,1.59537,0.00822222,0.000197531,0.000197531
2,298.038,1.64147,4.3178,1.5996,0.54256,0.16631,0.08915,0.04972,1.53955,4.11699,1.62884,0.00641825,0.000393556,0.000393556
3,463.622,1.61308,3.91972,1.60315,0.53758,0.08499,0.06653,0.04048,1.63852,4.10483,1.72575,0.00461027,0.000585581,0.000585581
4,618.127,1.54915,3.62042,1.58842,0.3171,0.24419,0.12799,0.07445,1.41006,3.95387,1.54471,0.0027983,0.000773607,0.000773607
5,766.9,1.52549,3.49572,1.56377,0.28532,0.34154,0.21327,0.12726,1.36559,3.60803,1.55082,0.000982325,0.000957634,0.000957634
6,913.097,1.42976,3.29469,1.54696,0.25478,0.27285,0.19961,0.12016,1.43492,3.51583,1.68109,0.000950005,0.000950005,0.000950005
7,1058.93,1.3759,3.09871,1.48913,0.68784,0.17222,0.19718,0.12358,1.32937,3.36556,1.54793,0.000940006,0.000940006,0.000940006
8,1210.23,1.35418,3.00735,1.49023,0.57126,0.32445,0.32463,0.20718,1.19295,2.87428,1.48026,0.000930007,0.000930007,0.000930007
9,1374.14,1.33535,2.93996,1.46375,0.52263,0.31339,0.29731,0.16786,1.34691,3.34698,1.52157,0.000920008,0.000920008,0.000920008
10,1528.96,1.31615,2.8427,1.47023,0.46485,0.43484,0.36534,0.22845,1.1597,2.58902,1.44497,0.000910009,0.000910009,0.000910009
